DRIVER	USER	Pickup LOCATION	Drop LOCATION	RATING	Pickup time	Drop time	Status	Fare
dmewrcik44	awickendonhl	2370	2839	5	10:53:52	06:40:40	Completed	8
tboost5l	bshakesbygw	1155	1855	3	01:31:13	07:01:49	Completed	15
rtolmie6d	wbacksonee	114	6047	3	13:06:25	18:23:56	Completed	45
gvolkers8r	wmassard52	5677	2771	5	02:14:00	22:32:17	Completed	75
abrakeaa	wbacksonee	3402	5683	4	13:36:29	12:32:44	Completed	30
nmansbridgead	plawleef7	2064	5273	4	07:33:37	11:26:25	Completed	17
ndyersondl	hborgnetif	6053	3834	4	22:44:45	09:53:54	Completed	73
klitherlandf9	jdoniso28	6029	2357	3	19:11:10	11:03:13	Completed	71
ebullantga	cgemellibx	896	3790	4	22:31:17	10:32:55	Completed	65
esemeradovaio	sduiguidor	421	937	4	00:43:01	02:02:06	Completed	54
ddommettm1	scaldecuttrj	5339	118	5	08:17:36	00:07:45	Completed	21
jsherrummt	fvasyunichevlb	1313	2800	3	08:46:26	18:14:38	Completed	60
ahemphilln3	jtexton6v	4827	4071	4	14:41:54	01:56:40	Completed	64
mduboisnf	rotsonmn	2185	3909	4	00:15:21	09:26:26	Completed	12
fbaddeley3z	jsiddency	4172	692	3	00:33:46	04:46:31	Completed	71
ccavanaugh8j	rkloisner62	4582	770	4	03:39:40	02:02:04	Completed	52
jdorot93	graittiejw	1898	4684	4	13:39:12	03:30:45	Completed	79
asibbering98	sduiguidor	484	3790	3	08:19:22	19:09:24	Completed	36
icelierb6	dhamfleet4b	2419	1637	5	10:52:41	05:46:39	Completed	12
ldykasdx	mgalpin9	2185	2073	4	08:24:05	22:43:08	Completed	79
nbowkere0	ogooderedlb	353	6029	3	21:37:11	12:01:47	Completed	80
esansame9	npietzner4a	911	5849	3	21:53:34	21:58:18	Completed	38
mhaggartf2	gbramleyk3	5155	3741	3	07:26:29	19:02:59	Completed	58
atevelovfm	hfitterqs	1314	3748	4	05:42:25	07:18:10	Completed	58
ehaltie	festerbrook5z	3973	1993	3	17:29:43	03:18:11	Completed	40
wfenningif	jsavilf0	230	2971	3	07:44:13	12:19:52	Completed	43
bbabinskik7	bbonder83	857	5251	3	12:20:05	11:56:59	Completed	40
hkyberdnp	tlinebarger5c	1863	832	5	12:50:18	06:54:06	Completed	71
trobiount	omclucasdk	3918	5546	5	21:46:53	14:07:06	Completed	18
sbeuscheroq	tdeble49	2660	4931	4	02:36:36	20:42:28	Completed	74
bmapplebeckou	lmadneram	3771	2797	4	22:59:01	17:18:29	Completed	29
gchiversp6	kmontez9f	5094	5836	2	03:16:30	12:46:23	Completed	25
kburdassq	fpantridgecu	3033	6025	3	11:33:10	16:55:38	Completed	36
fcosley55	mleechbt	864	2985	5	08:11:26	07:59:07	Completed	48
pangear61	ecowopea1	3606	6029	5	21:44:01	11:23:42	Completed	26
llaughlan87	eerswell2c	5023	1597	4	06:22:59	05:16:15	Completed	41
hklishinam	wlawford8e	1246	5078	3	01:17:59	12:57:18	Completed	71
rtrulockeb8	swankelk3	4107	4371	5	07:09:04	12:02:07	Completed	36
dschutterbt	btutingib	3146	1558	3	20:57:00	14:03:34	Completed	60
hveartf9	shawkslee9s	972	1251	4	10:11:19	09:30:26	Completed	51
glynnettfv	eandriolihi	4080	2279	4	18:31:46	03:54:31	Completed	52
eklaasfw	rrainforthkf	5702	4143	5	09:28:28	04:31:20	Completed	7
tdommerquegu	mlintot8n	364	3217	3	21:48:52	11:45:25	Completed	62
edensumbej1	sroukeoc	5756	3743	5	12:13:07	04:42:22	Completed	75
pragleskl	cgermonpx	5671	3741	3	21:57:05	07:43:07	Completed	17
clicciardolz	csurphlissiy	3512	1259	4	21:05:00	03:43:19	Completed	9
hcuniffepk	khanselmanes	249	3030	4	08:05:55	05:50:53	Completed	80
bgamlyn7l	ffazakerleyhu	2642	526	5	16:50:11	01:36:55	Completed	71
ncrutchleyb4	cprobackhs	3086	5302	5	10:56:08	21:47:34	Completed	14
clittefairbk	bfarojo	2699	138	4	01:08:06	21:52:21	Completed	55
lduesburyee	jromayn1s	5588	5952	4	14:00:53	00:47:07	Completed	28
skynderfa	ncasari1m	1314	3146	4	16:39:09	02:57:41	Completed	6
friepha	orotherak7	2835	2825	5	10:22:03	07:47:44	Completed	62
rcrambg	psimo5h	3465	4553	5	02:16:36	12:29:55	Completed	28
rpoizer28	ofordr1	5178	3664	5	08:22:33	16:06:14	Completed	50
arubenovic45	bhanmer1z	4515	6034	5	11:24:19	17:53:08	Completed	18
rgowling5f	mgravielk	4354	273	5	03:41:15	21:09:06	Completed	5
adrohan6q	jearwicker91	485	2699	4	20:40:23	11:45:36	Completed	50
eburryhp	bchildesdo	4714	3217	4	07:54:18	05:17:57	Completed	72
mpendockmq	bcrosihy	113	5174	4	22:26:37	11:04:49	Completed	64
cbynetho3	bsaggs	821	313	5	10:55:35	05:22:45	Completed	23
hjobbingqe	hlewtyfm	2642	4683	3	10:53:41	03:33:58	Completed	13
adewerk1r	rheakey4j	5649	3457	4	20:12:25	07:56:10	Completed	60
wcoombes3b	abunsonid	3413	4854	5	10:53:23	01:51:33	Completed	15
egilardonea7	jsiddency	5174	62	5	12:30:05	10:23:36	Completed	66
preallybz	fpantridgecu	916	1405	3	16:59:10	19:02:54	Completed	52
nfrottondv	tlinebarger5c	941	5816	4	07:41:06	14:39:23	Completed	78
dbankslg	mcall3c	2294	5686	5	01:13:24	04:50:17	Completed	42
nwillavoysma	sroukeoc	4894	2528	5	12:51:12	03:31:48	Completed	49
lhagstonmg	jdominiakjn	5945	2461	3	14:00:23	01:52:05	Completed	79
pgullenp3	mglandfieldj2	2957	5860	5	16:14:18	21:17:43	Completed	37
jquantrellpv	hhuster5o	5073	4236	5	19:43:48	12:24:53	Completed	8
rkilbyr6	jpeatnz	5721	3666	3	04:43:01	08:06:11	Completed	31
bawty1n	khanselmanes	3741	1100	4	03:41:00	06:01:52	Completed	5
scavilaz	mmulcahyjh	2919	821	5	17:43:19	02:17:31	Completed	20
gantonsenca	rlewsonnn	2737	4338	4	05:12:23	08:32:10	Completed	20
akittredgecm	bhuishau	3834	203	5	16:49:01	11:01:14	Completed	40
qleckiehu	etommasiqh	3678	5951	4	17:49:01	17:05:11	Completed	75
cmonnijx	wdillwaygf	767	1739	4	15:34:35	09:20:59	Completed	75
jeffauntna	kpastorhv	793	5302	5	06:22:27	19:48:58	Completed	19
mellicept	iblaisdalei8	5945	5923	3	04:25:13	05:01:48	Completed	74
ppowdrellqf	dhansoma9	4417	1506	5	05:02:01	11:48:28	Completed	54
nmccaghanqo	mlintot8n	5325	3790	5	20:11:23	09:37:01	Completed	12
bmustill8	omclucasdk	4810	3944	5	05:39:23	07:55:07	Completed	51
mhalligan15	whackettp8	5645	3790	5	02:28:47	20:37:18	Completed	65
faleevy3b	elinnemann5i	1697	1495	3	02:32:26	08:19:01	Completed	60
usebert4y	glaidelgn	6075	207	5	05:12:41	00:01:46	Completed	51
mbarfford7v	utivoliermv	3800	2673	5	08:31:09	12:03:52	Completed	43
scampe84	orotherak7	3007	3615	5	07:07:44	16:47:38	Completed	51
rwoolgara5	godain	4607	2899	5	00:37:44	07:18:19	Completed	76
nmarranda	cpellamonuten20	4410	4454	5	14:18:48	21:37:46	Completed	63
baltoftsee	churllh8	2890	2771	3	13:14:23	21:55:24	Completed	62
jmarcinkowskif9	celphinston3j	1724	185	5	18:10:47	06:03:47	Completed	33
fpoznanskik0	kkezourecnb	5886	4192	4	05:50:39	04:56:58	Completed	5
mconaghankl	emarval3z	4106	5951	3	16:25:07	20:29:52	Completed	67
wkaesmanso2	svernon4c	814	637	5	07:40:58	18:04:18	Completed	60
hhonacker14	emarval3z	5204	1337	2	14:56:54	21:04:03	Completed	62
fsnoad1n	bsutcliffeoa	1993	5975	5	01:59:09	15:53:30	Completed	28
chelsbycz	rstonallhx	5375	2897	5	12:44:39	05:31:59	Completed	29
scasonifl	frichardetg0	1301	4817	3	13:03:54	11:24:41	Completed	57
hmcgarriehq	xcurringtone5	6042	5140	1	03:21:01	21:48:03	Completed	67
fbrattonl2	mlouyscv	5111	5392	4	18:41:01	13:24:40	Completed	50
bingerfieldly	mgorman6j	1678	2660	5	12:00:43	02:56:28	Completed	43
vpulleyml	echeerskn	4529	5975	5	03:36:43	08:56:21	Completed	19
tsheepypm	jprestneyod	4577	1597	5	08:47:58	22:51:22	Completed	40
jrings3u	jtegellerea	3762	1291	1	13:08:03	19:08:54	Completed	11
pcaplen80	mrawlesk8	4951	2221	4	07:29:14	06:01:29	Completed	49
werangybb	krestonj6	3536	1675	4	05:50:18	21:10:03	Completed	50
hmuzzillofv	gmedgwickc9	4031	1535	1	22:46:30	21:48:05	Completed	43
rmatthesiushx	psteckings1t	2523	5653	3	12:22:17	17:47:48	Completed	47
kabrashkovll	rrainforthkf	3475	5066	2	12:23:05	02:31:26	Completed	36
cchastenetls	bchildesdo	3442	805	3	20:44:48	01:17:17	Completed	22
umullordp8	mgravielk	3743	4363	4	22:55:04	04:57:53	Completed	26
edafforne24	smeasor3w	1927	2947	5	04:00:38	16:39:13	Completed	6
pmuscat2m	afarransan	1147	5447	4	22:47:29	19:30:33	Completed	47
dmewrcik44	swayonce	118	2947	5	16:10:22	04:57:29	Completed	41
tboost5l	emarval3z	5762	4529	5	20:13:50	16:07:54	Completed	60
abrakeaa	sdohmannog	1706	4317	3	18:20:16	06:24:23	Completed	54
nmansbridgead	jdubockqh	5558	1291	3	11:43:21	09:40:56	Completed	25
ndyersondl	umaccorkell2q	544	5816	1	00:30:50	07:36:01	Completed	71
klitherlandf9	npietzner4a	3958	998	4	01:40:36	12:31:56	Completed	21
ebullantga	dfoddenl3	3416	5400	4	04:01:46	16:35:05	Completed	42
esemeradovaio	tmacparlan2u	3416	444	4	11:22:21	14:35:11	Completed	52
ahemphilln3	ptorranskn	2416	489	4	20:17:00	02:09:59	Completed	24
mduboisnf	mnossent7c	2812	3381	4	03:17:39	05:55:36	Completed	59
fbaddeley3z	ahagan78	5645	6029	4	15:23:03	17:03:28	Completed	8
ccavanaugh8j	cburtenshaweg	4527	4714	3	01:53:27	16:57:37	Completed	38
jdorot93	eerswell2c	911	138	1	02:26:38	14:42:32	Completed	18
asibbering98	dalyokhinqu	1409	2127	3	14:03:05	12:50:20	Completed	72
ldykasdx	btutingib	4951	1251	4	14:57:47	20:37:49	Completed	55
esansame9	lanyon3l	2776	2461	5	14:13:11	08:05:54	Completed	48
mhaggartf2	bcraisepg	6026	854	3	16:24:44	09:57:36	Completed	75
atevelovfm	emarval3z	4025	5386	4	17:00:30	02:59:05	Completed	43
ehaltie	gagglionerc	522	5816	4	18:55:09	11:44:58	Completed	79
wfenningif	bsutcliffeoa	4398	2720	5	04:28:31	07:25:49	Completed	61
bbabinskik7	tpummerypi	421	5975	5	02:38:16	14:28:41	Completed	13
trobiount	pbrestond6	203	5177	4	21:09:32	17:03:59	Completed	67
bmapplebeckou	amortenmz	270	626	4	22:05:14	19:55:32	Completed	30
kburdassq	mnossent7c	2771	4953	5	19:11:32	20:34:43	Completed	10
fcosley55	dcomiil	3402	1184	4	05:10:58	00:17:49	Completed	66
pangear61	bcraisepg	1094	4143	3	06:26:26	22:49:00	Completed	38
llaughlan87	bzeplinql	2302	5386	4	11:36:34	05:35:10	Completed	64
rtrulockeb8	ptoffalonia5	5038	3647	4	21:23:31	15:47:29	Completed	49
dschutterbt	alarret1c	1688	5784	4	22:11:11	04:03:59	Completed	29
hveartf9	bsaggs	4281	3443	2	22:20:10	01:46:49	Completed	54
glynnettfv	bubsdaleec	5532	896	4	15:09:58	07:33:42	Completed	61
eklaasfw	ptoffalonia5	6026	3619	4	09:58:54	10:53:17	Completed	39
tdommerquegu	lfulbrookqf	3247	5237	4	02:36:57	15:44:39	Completed	21
edensumbej1	tackroydpd	4931	3621	3	13:07:09	03:14:01	Completed	48
clicciardolz	rlearied5	821	5496	4	17:20:50	01:51:36	Completed	56
hcuniffepk	hbeenhamm5	5741	496	3	13:21:24	14:26:07	Completed	70
ncrutchleyb4	akaplan5o	3748	4693	5	18:51:57	10:49:26	Completed	39
lduesburyee	atourot97	2311	4218	5	13:55:37	13:08:03	Completed	34
friepha	sroukeoc	2464	5380	5	05:54:16	20:34:29	Completed	13
mpendockmq	ptoffalonia5	5676	1624	1	14:38:00	11:08:57	Completed	64
cbynetho3	bkentwell48	877	716	3	03:05:18	03:04:22	Completed	41
wcoombes3b	wgrinsdalel3	1973	2416	5	09:40:43	13:24:43	Completed	66
preallybz	lbeaneyd0	5647	128	2	07:34:54	22:42:37	Completed	40
nfrottondv	ksoles71	4436	1898	3	16:15:53	10:11:57	Completed	50
jquantrellpv	dbenallack4y	5400	627	2	11:02:58	01:23:54	Completed	7
rkilbyr6	psteckings1t	1012	2919	4	20:16:17	00:02:38	Completed	25
cmonnijx	ecollopd1	5416	1432	4	20:24:37	12:07:53	Completed	21
jeffauntna	psimo5h	5778	1574	1	19:46:57	14:39:24	Completed	11
mellicept	aholde6d	3030	2073	5	13:44:41	05:56:18	Completed	43
ppowdrellqf	smerriniy	5585	2481	5	18:39:50	08:12:10	Completed	25
nmccaghanqo	cbowness74	126	2234	4	11:36:03	21:02:06	Completed	54
usebert4y	bgawthrophv	3902	1653	4	16:00:29	13:58:33	Completed	62
rwoolgara5	dtichelaarpi	796	1678	3	17:11:28	02:13:51	Completed	72
jmarcinkowskif9	bzeplinql	889	876	3	21:21:01	13:29:45	Completed	10
fpoznanskik0	mpengelley4h	5702	2401	4	14:46:51	07:03:01	Completed	62
mconaghankl	cdampbr	770	5737	3	13:32:41	10:02:48	Completed	73
wkaesmanso2	gbramleyk3	235	368	4	18:26:17	18:35:52	Completed	25
hhonacker14	graittiejw	6037	2279	3	09:42:16	06:36:06	Completed	63
hmcgarriehq	hbogaysda	3645	2911	5	21:24:03	11:16:30	Completed	17
bingerfieldly	wmassard52	3180	5923	5	18:59:54	07:20:34	Completed	36
vpulleyml	hmearnsqj	3606	857	3	11:17:04	10:21:56	Completed	15
jrings3u	dglowacz66	544	3668	5	08:51:03	08:32:04	Completed	73
pcaplen80	bderlmg	2776	690	5	09:09:15	00:14:19	Completed	44
hmuzzillofv	fwallagejp	3201	911	1	13:20:58	10:51:13	Completed	46
rmatthesiushx	dvegasqs	1483	1706	3	16:48:43	15:38:53	Completed	37
kabrashkovll	garbuckelcf	4553	2334	5	16:29:12	04:11:41	Completed	14
edafforne24	mleechbt	4684	1767	3	06:45:01	11:02:23	Completed	67
pmuscat2m	gchimenti27	4236	4338	3	11:14:54	09:35:58	Completed	51
klitherlandf9	dprendivilleo	3462	6070	3	01:06:51	03:35:00	Completed	36
ebullantga	kcarluccijz	4589	3021	3	00:40:30	05:33:41	Completed	28
esemeradovaio	hhuster5o	4578	5669	4	05:57:37	22:11:22	Completed	74
mduboisnf	hfassonf	2190	2360	4	08:00:12	06:34:12	Completed	9
fbaddeley3z	bshakesbygw	3499	1147	4	19:22:34	00:13:35	Completed	15
ccavanaugh8j	ahagan78	5954	2221	5	13:26:36	19:24:51	Completed	21
jdorot93	dgeane9e	1302	3536	5	17:31:03	22:27:28	Completed	62
ldykasdx	swayonce	3963	5765	5	21:44:48	15:50:09	Completed	29
esansame9	bcrosihy	113	110	3	15:52:03	01:00:09	Completed	33
mhaggartf2	esienel5	558	5501	3	21:37:56	12:59:57	Completed	64
atevelovfm	ptoffalonia5	5671	3974	5	05:19:20	05:28:14	Completed	6
wfenningif	mdoucettem2	2782	1194	4	06:07:08	04:44:56	Completed	54
trobiount	uwison9j	2420	461	3	07:18:13	16:01:47	Completed	8
rtrulockeb8	gchimenti27	1204	5952	4	17:42:10	01:56:03	Completed	15
eklaasfw	bdamantu	353	558	5	04:32:07	04:43:51	Completed	64
tdommerquegu	iaickenba	3632	1204	3	18:34:41	02:56:53	Completed	23
hcuniffepk	csurphlissiy	2225	1624	4	20:22:53	22:32:40	Completed	45
ncrutchleyb4	kgreedyerf4	2987	307	5	21:44:45	20:40:33	Completed	67
friepha	dglowacz66	4670	4953	3	10:25:15	10:28:34	Completed	50
cbynetho3	frobb83	252	1259	2	02:41:05	10:08:33	Completed	51
wcoombes3b	dscandrick6s	5221	2942	4	14:25:57	13:33:55	Completed	34
nfrottondv	mferrieres3i	5496	4684	3	21:37:26	07:03:16	Completed	65
jquantrellpv	gnolot6m	865	5756	4	01:27:22	13:33:54	Completed	41
rkilbyr6	rlearied5	364	2790	2	05:24:00	09:30:16	Completed	30
cmonnijx	dhamfleet4b	1495	995	5	13:52:49	19:20:44	Completed	32
jeffauntna	llasslett1f	4951	3762	5	22:47:07	21:45:03	Completed	68
mellicept	emarval3z	4031	5224	3	12:30:00	07:47:59	Completed	23
usebert4y	tbuswell4k	4987	5182	4	09:54:50	11:12:08	Completed	35
rwoolgara5	festerbrook5z	6070	3873	5	02:44:41	19:12:33	Completed	20
jmarcinkowskif9	smcreath6u	4657	2637	4	14:32:03	02:02:52	Completed	76
fpoznanskik0	mglandfieldj2	4234	1108	4	01:09:49	22:25:51	Completed	18
hhonacker14	syellowleymi	5447	4972	4	18:40:58	21:35:21	Completed	33
bingerfieldly	brimbault4u	313	1092	5	09:13:56	06:40:09	Completed	77
vpulleyml	rhaversum3q	1678	4449	3	01:25:16	19:18:41	Completed	63
jrings3u	hbogaysda	5143	4424	3	04:07:54	12:56:39	Completed	34
hmuzzillofv	acleworthci	2523	3978	4	11:29:17	11:25:26	Completed	48
rmatthesiushx	psimo5h	307	3909	4	05:52:23	05:57:41	Completed	57
edafforne24	kmacewand1	1535	5386	5	14:30:08	18:57:09	Completed	60
pmuscat2m	gguilliattkc	4048	1309	5	01:02:03	09:56:58	Completed	13
ebullantga	ptowleri1	5302	1244	3	02:58:04	17:53:03	Completed	45
esemeradovaio	cburtenshaweg	4925	2989	5	01:04:55	14:41:08	Completed	23
mduboisnf	khanselmanes	3621	3612	3	08:42:52	09:28:57	Completed	32
fbaddeley3z	wnelthorper7	1368	3771	3	13:59:17	21:14:14	Completed	72
ccavanaugh8j	esacks6z	4693	3619	1	08:38:00	20:27:03	Completed	23
jdorot93	gmedgwickc9	2198	5930	5	03:04:17	01:03:55	Completed	27
ldykasdx	sbesri	2929	3958	3	00:46:59	22:39:57	Completed	8
esansame9	churllh8	5552	1450	4	10:46:28	13:27:18	Completed	21
mhaggartf2	bmeadero3	4020	261	4	17:05:58	03:45:24	Completed	68
atevelovfm	olabba7e	3918	61	2	14:54:36	15:52:37	Completed	47
wfenningif	umcgradykq	5182	2524	2	15:17:37	21:00:38	Completed	10
trobiount	srobkennt	6076	1246	3	04:50:16	11:32:30	Completed	71
rtrulockeb8	kmonging4	128	1422	5	20:59:01	13:31:52	Completed	70
tdommerquegu	jtegellerea	1180	4577	5	18:07:08	20:48:07	Completed	70
hcuniffepk	jtallb	2282	4670	5	05:19:29	09:15:39	Completed	29
ncrutchleyb4	doliddyhh	3974	538	4	07:00:15	19:07:00	Completed	72
friepha	sguarde2	6034	3201	4	11:06:43	18:19:17	Completed	12
cbynetho3	aholde6d	3465	5975	5	08:13:21	01:10:40	Completed	35
jquantrellpv	lwoodroof99	2370	3902	4	19:03:26	09:49:25	Completed	77
cmonnijx	lpollok7h	4080	2098	3	04:27:09	13:03:04	Completed	56
jeffauntna	orotherak7	2234	4848	4	02:25:17	00:36:23	Completed	9
mellicept	ptonbridge6l	5945	3902	3	17:46:11	18:37:27	Completed	52
usebert4y	cgemellibx	3108	5851	4	11:34:38	15:08:16	Completed	78
rwoolgara5	smcreath6u	2699	3962	2	06:06:21	12:42:47	Completed	67
jmarcinkowskif9	iblaisdalei8	2311	2721	5	00:24:06	16:32:41	Completed	62
fpoznanskik0	sarmall3s	5836	522	4	01:32:26	17:38:59	Completed	52
